Fiber ID,Column Number,Row Number,X location in mm,Y location in mm,Radial distance in mm from center,X location in arcsec,Y location in arcsec,Non-telecentricity in arcmin,Non-telecentricity in degree,Radial distance in arcsec from center,Group
1,-13,-6,-2.405,-1.923,3.079013641,-10.63321808,-8.500280294,17.24,0.2873333333,13.61323224,1
2,-11,-6,-2.035,-1.923,2.799558001,-8.99733838,-8.500280294,15.68,0.2613333333,12.37767599,1
3,-9,-6,-1.665,-1.923,2.543329511,-7.361458674,-8.500280294,14.24,0.2373333333,11.24481387,2
4,-7,-6,-1.295,-1.923,2.318043356,-5.725578969,-8.500280294,12.98,0.2163333333,10.24875698,2
5,-5,-6,-0.925,-1.923,2.13352408,-4.089699263,-8.500280294,11.95,0.1991666667,9.43294255,2
6,-3,-6,-0.555,-1.923,2.001080958,-2.453819558,-8.500280294,11.21,0.1868333333,8.847372237,3
7,-1,-6,-0.185,-1.923,1.931456704,-0.8179398527,-8.500280294,10.82,0.1803333333,8.539542768,3
8,1,-6,0.185,-1.923,1.931456704,0.8179398527,-8.500280294,10.82,0.1803333333,8.539542768,6
9,3,-6,0.555,-1.923,2.001080958,2.453819558,-8.500280294,11.21,0.1868333333,8.847372237,6
10,5,-6,0.925,-1.923,2.13352408,4.089699263,-8.500280294,11.95,0.1991666667,9.43294255,7
11,7,-6,1.295,-1.923,2.318043356,5.725578969,-8.500280294,12.98,0.2163333333,10.24875698,7
12,9,-6,1.665,-1.923,2.543329511,7.361458674,-8.500280294,14.24,0.2373333333,11.24481387,7
13,11,-6,2.035,-1.923,2.799558001,8.99733838,-8.500280294,15.68,0.2613333333,12.37767599,8
14,13,-6,2.405,-1.923,3.079013641,10.63321808,-8.500280294,17.24,0.2873333333,13.61323224,8
15,14,-5,2.59,-1.602,3.045484362,11.45115794,-7.083566912,17.06,0.2843333333,13.46498935,8
16,12,-5,2.22,-1.602,2.737749989,9.815278232,-7.083566912,15.33,0.2555,12.10440445,8
17,10,-5,1.85,-1.602,2.447319963,8.179398527,-7.083566912,13.71,0.2285,10.82032719,7
18,8,-5,1.48,-1.602,2.181117833,6.543518821,-7.083566912,12.21,0.2035,9.643368642,7
19,6,-5,1.11,-1.602,1.949095944,4.907639116,-7.083566912,10.92,0.182,8.617531079,7
20,4,-5,0.74,-1.602,1.764787523,3.271759411,-7.083566912,9.88,0.1646666667,7.802648899,6
21,2,-5,0.37,-1.602,1.644315967,1.635879705,-7.083566912,9.21,0.1535,7.270008432,6
22,0,-5,0,-1.602,1.602146997,0,-7.083566912,8.97,0.1495,7.083566912,6
23,-2,-5,-0.37,-1.602,1.644315967,-1.635879705,-7.083566912,9.21,0.1535,7.270008432,3
24,-4,-5,-0.74,-1.602,1.764787523,-3.271759411,-7.083566912,9.88,0.1646666667,7.802648899,3
25,-6,-5,-1.11,-1.602,1.949095944,-4.907639116,-7.083566912,10.92,0.182,8.617531079,3
26,-8,-5,-1.48,-1.602,2.181117833,-6.543518821,-7.083566912,12.21,0.2035,9.643368642,2
27,-10,-5,-1.85,-1.602,2.447319963,-8.179398527,-7.083566912,13.71,0.2285,10.82032719,2
28,-12,-5,-2.22,-1.602,2.737749989,-9.815278232,-7.083566912,15.33,0.2555,12.10440445,1
29,-14,-5,-2.59,-1.602,3.045484362,-11.45115794,-7.083566912,17.06,0.2843333333,13.46498935,1
30,-15,-4,-2.775,-1.282,3.056701654,-12.26909779,-5.66685353,17.12,0.2853333333,13.51458433,1
31,-13,-4,-2.405,-1.282,2.725220175,-10.63321808,-5.66685353,15.26,0.2543333333,12.04900642,1
32,-11,-4,-2.035,-1.282,2.405,-8.99733838,-5.66685353,13.47,0.2245,10.63321808,2
33,-9,-4,-1.665,-1.282,2.101196088,-7.361458674,-5.66685353,11.77,0.1961666667,9.290010912,2
34,-7,-4,-1.295,-1.282,1.822038693,-5.725578969,-5.66685353,10.2,0.17,8.055773299,3
35,-5,-4,-0.925,-1.282,1.580640693,-4.089699263,-5.66685353,8.85,0.1475,6.988481165,3
36,-3,-4,-0.555,-1.282,1.396719371,-2.453819558,-5.66685353,7.82,0.1303333333,6.175310466,4
37,-1,-4,-0.185,-1.282,1.295,-0.8179398527,-5.66685353,7.25,0.1208333333,5.725578969,4
38,1,-4,0.185,-1.282,1.295,0.8179398527,-5.66685353,7.25,0.1208333333,5.725578969,5
39,3,-4,0.555,-1.282,1.396719371,2.453819558,-5.66685353,7.82,0.1303333333,6.175310466,5
40,5,-4,0.925,-1.282,1.580640693,4.089699263,-5.66685353,8.85,0.1475,6.988481165,6
41,7,-4,1.295,-1.282,1.822038693,5.725578969,-5.66685353,10.2,0.17,8.055773299,6
42,9,-4,1.665,-1.282,2.101196088,7.361458674,-5.66685353,11.77,0.1961666667,9.290010912,7
43,11,-4,2.035,-1.282,2.405,8.99733838,-5.66685353,13.47,0.2245,10.63321808,7
44,13,-4,2.405,-1.282,2.725220175,10.63321808,-5.66685353,15.26,0.2543333333,12.04900642,8
45,15,-4,2.775,-1.282,3.056701654,12.26909779,-5.66685353,17.12,0.2853333333,13.51458433,8
46,16,-3,2.96,-0.961,3.112181711,13.08703764,-4.250140147,17.43,0.2905,13.75987811,8
47,14,-3,2.59,-0.961,2.762639137,11.45115794,-4.250140147,15.47,0.2578333333,12.21444675,8
48,12,-3,2.22,-0.961,2.419188914,9.815278232,-4.250140147,13.55,0.2258333333,10.69595148,7
49,10,-3,1.85,-0.961,2.084844119,8.179398527,-4.250140147,11.68,0.1946666667,9.217714008,7
50,8,-3,1.48,-0.961,1.764787523,6.543518821,-4.250140147,9.88,0.1646666667,7.802648899,6
51,6,-3,1.11,-0.961,1.468391978,4.907639116,-4.250140147,8.22,0.137,6.492196313,6
52,4,-3,0.74,-0.961,1.213126127,3.271759411,-4.250140147,6.79,0.1131666667,5.363590301,5
53,2,-3,0.37,-0.961,1.030036407,1.635879705,-4.250140147,5.77,0.09616666667,4.554096363,5
54,0,-3,0,-0.961,0.9612881982,0,-4.250140147,5.38,0.08966666667,4.250140147,5
55,-2,-3,-0.37,-0.961,1.030036407,-1.635879705,-4.250140147,5.77,0.09616666667,4.554096363,4
56,-4,-3,-0.74,-0.961,1.213126127,-3.271759411,-4.250140147,6.79,0.1131666667,5.363590301,4
57,-6,-3,-1.11,-0.961,1.468391978,-4.907639116,-4.250140147,8.22,0.137,6.492196313,3
58,-8,-3,-1.48,-0.961,1.764787523,-6.543518821,-4.250140147,9.88,0.1646666667,7.802648899,3
59,-10,-3,-1.85,-0.961,2.084844119,-8.179398527,-4.250140147,11.68,0.1946666667,9.217714008,2
60,-12,-3,-2.22,-0.961,2.419188914,-9.815278232,-4.250140147,13.55,0.2258333333,10.69595148,2
61,-14,-3,-2.59,-0.961,2.762639137,-11.45115794,-4.250140147,15.47,0.2578333333,12.21444675,1
62,-16,-3,-2.96,-0.961,3.112181711,-13.08703764,-4.250140147,17.43,0.2905,13.75987811,1
63,-17,-2,-3.145,-0.641,3.209630041,-13.9049775,-2.833426765,17.97,0.2995,14.19072607,1
64,-15,-2,-2.775,-0.641,2.848038799,-12.26909779,-2.833426765,15.95,0.2658333333,12.59202398,1
65,-13,-2,-2.405,-0.641,2.488920449,-10.63321808,-2.833426765,13.94,0.2323333333,11.00425527,2
66,-11,-2,-2.035,-0.641,2.13352408,-8.99733838,-2.833426765,11.95,0.1991666667,9.43294255,2
67,-9,-2,-1.665,-0.641,1.784075391,-7.361458674,-2.833426765,9.99,0.1665,7.887926283,3
68,-7,-2,-1.295,-0.641,1.44489619,-5.725578969,-2.833426765,8.09,0.1348333333,6.388314469,3
69,-5,-2,-0.925,-0.641,1.125311068,-4.089699263,-2.833426765,6.3,0.105,4.975333888,4
70,-3,-2,-0.555,-0.641,0.8477765036,-2.453819558,-2.833426765,4.75,0.07916666667,3.748271289,4
71,-1,-2,-0.185,-0.641,0.667026986,-0.8179398527,-2.833426765,3.74,0.06233333333,2.949124079,4
72,1,-2,0.185,-0.641,0.667026986,0.8179398527,-2.833426765,3.74,0.06233333333,2.949124079,5
73,3,-2,0.555,-0.641,0.8477765036,2.453819558,-2.833426765,4.75,0.07916666667,3.748271289,5
74,5,-2,0.925,-0.641,1.125311068,4.089699263,-2.833426765,6.3,0.105,4.975333888,5
75,7,-2,1.295,-0.641,1.44489619,5.725578969,-2.833426765,8.09,0.1348333333,6.388314469,6
76,9,-2,1.665,-0.641,1.784075391,7.361458674,-2.833426765,9.99,0.1665,7.887926283,6
77,11,-2,2.035,-0.641,2.13352408,8.99733838,-2.833426765,11.95,0.1991666667,9.43294255,7
78,13,-2,2.405,-0.641,2.488920449,10.63321808,-2.833426765,13.94,0.2323333333,11.00425527,7
79,15,-2,2.775,-0.641,2.848038799,12.26909779,-2.833426765,15.95,0.2658333333,12.59202398,8
80,17,-2,3.145,-0.641,3.209630041,13.9049775,-2.833426765,17.97,0.2995,14.19072607,8
82,16,-1,2.96,-0.320,2.977293234,13.08703764,-1.416713382,16.67,0.2778333333,13.16349616,8
83,14,-1,2.59,-0.320,2.609746156,11.45115794,-1.416713382,14.62,0.2436666667,11.53846155,8
84,12,-1,2.22,-0.320,2.243005796,9.815278232,-1.416713382,12.56,0.2093333333,9.916993677,7
85,10,-1,1.85,-0.320,1.87754494,8.179398527,-1.416713382,10.51,0.1751666667,8.301182872,6
86,8,-1,1.48,-0.320,1.514290263,6.543518821,-1.416713382,8.48,0.1413333333,6.69512624,6
87,6,-1,1.11,-0.320,1.15532463,4.907639116,-1.416713382,6.47,0.1078333333,5.108032743,5
88,4,-1,0.74,-0.320,0.8063963046,3.271759411,-1.416713382,4.52,0.07533333333,3.56531716,5
89,2,-1,0.37,-0.320,0.4894639925,1.635879705,-1.416713382,2.74,0.04566666667,2.164065438,5
90,0,-1,0,-0.320,0.3204293994,0,-1.416713382,1.79,0.02983333333,1.416713382,5
91,-2,-1,-0.37,-0.320,0.4894639925,-1.635879705,-1.416713382,2.74,0.04566666667,2.164065438,4
92,-4,-1,-0.74,-0.320,0.8063963046,-3.271759411,-1.416713382,4.52,0.07533333333,3.56531716,4
93,-6,-1,-1.11,-0.320,1.15532463,-4.907639116,-1.416713382,6.47,0.1078333333,5.108032743,4
94,-8,-1,-1.48,-0.320,1.514290263,-6.543518821,-1.416713382,8.48,0.1413333333,6.69512624,3
95,-10,-1,-1.85,-0.320,1.87754494,-8.179398527,-1.416713382,10.51,0.1751666667,8.301182872,3
96,-12,-1,-2.22,-0.320,2.243005796,-9.815278232,-1.416713382,12.56,0.2093333333,9.916993677,2
97,-14,-1,-2.59,-0.320,2.609746156,-11.45115794,-1.416713382,14.62,0.2436666667,11.53846155,1
98,-16,-1,-2.96,-0.320,2.977293234,-13.08703764,-1.416713382,16.67,0.2778333333,13.16349616,1
101,-17,0,-3.145,0.000,3.145,-13.9049775,0,17.61,0.2935,13.9049775,1
102,-15,0,-2.775,0.000,2.775,-12.26909779,0,15.54,0.259,12.26909779,1
103,-13,0,-2.405,0.000,2.405,-10.63321808,0,13.47,0.2245,10.63321808,2
104,-11,0,-2.035,0.000,2.035,-8.99733838,0,11.4,0.19,8.99733838,2
105,-9,0,-1.665,0.000,1.665,-7.361458674,0,9.32,0.1553333333,7.361458674,3
106,-7,0,-1.295,0.000,1.295,-5.725578969,0,7.25,0.1208333333,5.725578969,4
107,-5,0,-0.925,0.000,0.925,-4.089699263,0,5.18,0.08633333333,4.089699263,4
108,-3,0,-0.555,0.000,0.555,-2.453819558,0,3.11,0.05183333333,2.453819558,4
109,-1,0,-0.185,0.000,0.185,-0.8179398527,0,1.04,0.01733333333,0.8179398527,4
110,1,0,0.185,0.000,0.185,0.8179398527,0,1.04,0.01733333333,0.8179398527,5
111,3,0,0.555,0.000,0.555,2.453819558,0,3.11,0.05183333333,2.453819558,5
112,5,0,0.925,0.000,0.925,4.089699263,0,5.18,0.08633333333,4.089699263,5
113,7,0,1.295,0.000,1.295,5.725578969,0,7.25,0.1208333333,5.725578969,5
114,9,0,1.665,0.000,1.665,7.361458674,0,9.32,0.1553333333,7.361458674,6
115,11,0,2.035,0.000,2.035,8.99733838,0,11.4,0.19,8.99733838,7
116,13,0,2.405,0.000,2.405,10.63321808,0,13.47,0.2245,10.63321808,7
117,15,0,2.775,0.000,2.775,12.26909779,0,15.54,0.259,12.26909779,8
118,17,0,3.145,0.000,3.145,13.9049775,0,17.61,0.2935,13.9049775,8
121,16,1,2.96,0.320,2.977293234,13.08703764,1.416713382,16.67,0.2778333333,13.16349616,8
122,14,1,2.59,0.320,2.609746156,11.45115794,1.416713382,14.62,0.2436666667,11.53846155,8
123,12,1,2.22,0.320,2.243005796,9.815278232,1.416713382,12.56,0.2093333333,9.916993677,7
124,10,1,1.85,0.320,1.87754494,8.179398527,1.416713382,10.51,0.1751666667,8.301182872,6
125,8,1,1.48,0.320,1.514290263,6.543518821,1.416713382,8.48,0.1413333333,6.69512624,6
126,6,1,1.11,0.320,1.15532463,4.907639116,1.416713382,6.47,0.1078333333,5.108032743,5
127,4,1,0.74,0.320,0.8063963046,3.271759411,1.416713382,4.52,0.07533333333,3.56531716,5
128,2,1,0.37,0.320,0.4894639925,1.635879705,1.416713382,2.74,0.04566666667,2.164065438,5
129,0,1,0,0.320,0.3204293994,0,1.416713382,1.79,0.02983333333,1.416713382,4
130,-2,1,-0.37,0.320,0.4894639925,-1.635879705,1.416713382,2.74,0.04566666667,2.164065438,4
131,-4,1,-0.74,0.320,0.8063963046,-3.271759411,1.416713382,4.52,0.07533333333,3.56531716,4
132,-6,1,-1.11,0.320,1.15532463,-4.907639116,1.416713382,6.47,0.1078333333,5.108032743,4
133,-8,1,-1.48,0.320,1.514290263,-6.543518821,1.416713382,8.48,0.1413333333,6.69512624,3
134,-10,1,-1.85,0.320,1.87754494,-8.179398527,1.416713382,10.51,0.1751666667,8.301182872,3
135,-12,1,-2.22,0.320,2.243005796,-9.815278232,1.416713382,12.56,0.2093333333,9.916993677,2
136,-14,1,-2.59,0.320,2.609746156,-11.45115794,1.416713382,14.62,0.2436666667,11.53846155,1
137,-16,1,-2.96,0.320,2.977293234,-13.08703764,1.416713382,16.67,0.2778333333,13.16349616,1
139,-17,2,-3.145,0.641,3.209630041,-13.9049775,2.833426765,17.97,0.2995,14.19072607,1
140,-15,2,-2.775,0.641,2.848038799,-12.26909779,2.833426765,15.95,0.2658333333,12.59202398,1
141,-13,2,-2.405,0.641,2.488920449,-10.63321808,2.833426765,13.94,0.2323333333,11.00425527,2
142,-11,2,-2.035,0.641,2.13352408,-8.99733838,2.833426765,11.95,0.1991666667,9.43294255,2
143,-9,2,-1.665,0.641,1.784075391,-7.361458674,2.833426765,9.99,0.1665,7.887926283,3
144,-7,2,-1.295,0.641,1.44489619,-5.725578969,2.833426765,8.09,0.1348333333,6.388314469,3
145,-5,2,-0.925,0.641,1.125311068,-4.089699263,2.833426765,6.3,0.105,4.975333888,4
146,-3,2,-0.555,0.641,0.8477765036,-2.453819558,2.833426765,4.75,0.07916666667,3.748271289,4
147,-1,2,-0.185,0.641,0.667026986,-0.8179398527,2.833426765,3.74,0.06233333333,2.949124079,4
148,1,2,0.185,0.641,0.667026986,0.8179398527,2.833426765,3.74,0.06233333333,2.949124079,5
149,3,2,0.555,0.641,0.8477765036,2.453819558,2.833426765,4.75,0.07916666667,3.748271289,5
150,5,2,0.925,0.641,1.125311068,4.089699263,2.833426765,6.3,0.105,4.975333888,5
151,7,2,1.295,0.641,1.44489619,5.725578969,2.833426765,8.09,0.1348333333,6.388314469,6
152,9,2,1.665,0.641,1.784075391,7.361458674,2.833426765,9.99,0.1665,7.887926283,6
153,11,2,2.035,0.641,2.13352408,8.99733838,2.833426765,11.95,0.1991666667,9.43294255,7
154,13,2,2.405,0.641,2.488920449,10.63321808,2.833426765,13.94,0.2323333333,11.00425527,7
155,15,2,2.775,0.641,2.848038799,12.26909779,2.833426765,15.95,0.2658333333,12.59202398,8
156,17,2,3.145,0.641,3.209630041,13.9049775,2.833426765,17.97,0.2995,14.19072607,8
157,16,3,2.96,0.961,3.112181711,13.08703764,4.250140147,17.43,0.2905,13.75987811,8
158,14,3,2.59,0.961,2.762639137,11.45115794,4.250140147,15.47,0.2578333333,12.21444675,8
159,12,3,2.22,0.961,2.419188914,9.815278232,4.250140147,13.55,0.2258333333,10.69595148,7
160,10,3,1.85,0.961,2.084844119,8.179398527,4.250140147,11.68,0.1946666667,9.217714008,7
161,8,3,1.48,0.961,1.764787523,6.543518821,4.250140147,9.88,0.1646666667,7.802648899,6
162,6,3,1.11,0.961,1.468391978,4.907639116,4.250140147,8.22,0.137,6.492196313,6
163,4,3,0.74,0.961,1.213126127,3.271759411,4.250140147,6.79,0.1131666667,5.363590301,5
164,2,3,0.37,0.961,1.030036407,1.635879705,4.250140147,5.77,0.09616666667,4.554096363,5
165,0,3,0,0.961,0.9612881982,0,4.250140147,5.38,0.08966666667,4.250140147,4
166,-2,3,-0.37,0.961,1.030036407,-1.635879705,4.250140147,5.77,0.09616666667,4.554096363,4
167,-4,3,-0.74,0.961,1.213126127,-3.271759411,4.250140147,6.79,0.1131666667,5.363590301,4
168,-6,3,-1.11,0.961,1.468391978,-4.907639116,4.250140147,8.22,0.137,6.492196313,3
169,-8,3,-1.48,0.961,1.764787523,-6.543518821,4.250140147,9.88,0.1646666667,7.802648899,3
170,-10,3,-1.85,0.961,2.084844119,-8.179398527,4.250140147,11.68,0.1946666667,9.217714008,2
171,-12,3,-2.22,0.961,2.419188914,-9.815278232,4.250140147,13.55,0.2258333333,10.69595148,2
172,-14,3,-2.59,0.961,2.762639137,-11.45115794,4.250140147,15.47,0.2578333333,12.21444675,1
173,-16,3,-2.96,0.961,3.112181711,-13.08703764,4.250140147,17.43,0.2905,13.75987811,1
174,-15,4,-2.775,1.282,3.056701654,-12.26909779,5.66685353,17.12,0.2853333333,13.51458433,1
175,-13,4,-2.405,1.282,2.725220175,-10.63321808,5.66685353,15.26,0.2543333333,12.04900642,1
176,-11,4,-2.035,1.282,2.405,-8.99733838,5.66685353,13.47,0.2245,10.63321808,2
177,-9,4,-1.665,1.282,2.101196088,-7.361458674,5.66685353,11.77,0.1961666667,9.290010912,2
178,-7,4,-1.295,1.282,1.822038693,-5.725578969,5.66685353,10.2,0.17,8.055773299,3
179,-5,4,-0.925,1.282,1.580640693,-4.089699263,5.66685353,8.85,0.1475,6.988481165,3
180,-3,4,-0.555,1.282,1.396719371,-2.453819558,5.66685353,7.82,0.1303333333,6.175310466,4
181,-1,4,-0.185,1.282,1.295,-0.8179398527,5.66685353,7.25,0.1208333333,5.725578969,4
182,1,4,0.185,1.282,1.295,0.8179398527,5.66685353,7.25,0.1208333333,5.725578969,5
183,3,4,0.555,1.282,1.396719371,2.453819558,5.66685353,7.82,0.1303333333,6.175310466,5
184,5,4,0.925,1.282,1.580640693,4.089699263,5.66685353,8.85,0.1475,6.988481165,6
185,7,4,1.295,1.282,1.822038693,5.725578969,5.66685353,10.2,0.17,8.055773299,6
186,9,4,1.665,1.282,2.101196088,7.361458674,5.66685353,11.77,0.1961666667,9.290010912,7
187,11,4,2.035,1.282,2.405,8.99733838,5.66685353,13.47,0.2245,10.63321808,7
188,13,4,2.405,1.282,2.725220175,10.63321808,5.66685353,15.26,0.2543333333,12.04900642,8
189,15,4,2.775,1.282,3.056701654,12.26909779,5.66685353,17.12,0.2853333333,13.51458433,8
190,14,5,2.59,1.602,3.045484362,11.45115794,7.083566912,17.06,0.2843333333,13.46498935,8
191,12,5,2.22,1.602,2.737749989,9.815278232,7.083566912,15.33,0.2555,12.10440445,8
192,10,5,1.85,1.602,2.447319963,8.179398527,7.083566912,13.71,0.2285,10.82032719,7
193,8,5,1.48,1.602,2.181117833,6.543518821,7.083566912,12.21,0.2035,9.643368642,7
194,6,5,1.11,1.602,1.949095944,4.907639116,7.083566912,10.92,0.182,8.617531079,6
195,4,5,0.74,1.602,1.764787523,3.271759411,7.083566912,9.88,0.1646666667,7.802648899,6
196,2,5,0.37,1.602,1.644315967,1.635879705,7.083566912,9.21,0.1535,7.270008432,6
197,0,5,0,1.602,1.602146997,0,7.083566912,8.97,0.1495,7.083566912,3
198,-2,5,-0.37,1.602,1.644315967,-1.635879705,7.083566912,9.21,0.1535,7.270008432,3
199,-4,5,-0.74,1.602,1.764787523,-3.271759411,7.083566912,9.88,0.1646666667,7.802648899,3
200,-6,5,-1.11,1.602,1.949095944,-4.907639116,7.083566912,10.92,0.182,8.617531079,2
201,-8,5,-1.48,1.602,2.181117833,-6.543518821,7.083566912,12.21,0.2035,9.643368642,2
202,-10,5,-1.85,1.602,2.447319963,-8.179398527,7.083566912,13.71,0.2285,10.82032719,2
203,-12,5,-2.22,1.602,2.737749989,-9.815278232,7.083566912,15.33,0.2555,12.10440445,1
204,-14,5,-2.59,1.602,3.045484362,-11.45115794,7.083566912,17.06,0.2843333333,13.46498935,1
205,-13,6,-2.405,1.923,3.079013641,-10.63321808,8.500280294,17.24,0.2873333333,13.61323224,1
206,-11,6,-2.035,1.923,2.799558001,-8.99733838,8.500280294,15.68,0.2613333333,12.37767599,1
207,-9,6,-1.665,1.923,2.543329511,-7.361458674,8.500280294,14.24,0.2373333333,11.24481387,2
208,-7,6,-1.295,1.923,2.318043356,-5.725578969,8.500280294,12.98,0.2163333333,10.24875698,2
209,-5,6,-0.925,1.923,2.13352408,-4.089699263,8.500280294,11.95,0.1991666667,9.43294255,2
210,-3,6,-0.555,1.923,2.001080958,-2.453819558,8.500280294,11.21,0.1868333333,8.847372237,3
211,-1,6,-0.185,1.923,1.931456704,-0.8179398527,8.500280294,10.82,0.1803333333,8.539542768,3
212,1,6,0.185,1.923,1.931456704,0.8179398527,8.500280294,10.82,0.1803333333,8.539542768,6
213,3,6,0.555,1.923,2.001080958,2.453819558,8.500280294,11.21,0.1868333333,8.847372237,6
214,5,6,0.925,1.923,2.13352408,4.089699263,8.500280294,11.95,0.1991666667,9.43294255,7
215,7,6,1.295,1.923,2.318043356,5.725578969,8.500280294,12.98,0.2163333333,10.24875698,7
216,9,6,1.665,1.923,2.543329511,7.361458674,8.500280294,14.24,0.2373333333,11.24481387,7
217,11,6,2.035,1.923,2.799558001,8.99733838,8.500280294,15.68,0.2613333333,12.37767599,8
218,13,6,2.405,1.923,3.079013641,10.63321808,8.500280294,17.24,0.2873333333,13.61323224,8