Fiber ID,Column Number,Row Number,X location from centre of sky aperture in um,X location in mm,Y location from centre of sky aperture in um,Y location in mm,Radial distance from center of object bundle in mm ,X location in arcsec,Y location in arcsec,Non-telecentricity in arcmin,Non-telecentricity in degree,Radial distance in arcsec from center,Group
256,-6,-2,"-1,110",16.190,-640,-0.640,16.20,71.58079035,-2.829629761,90.74,0.04233333333,71.63669696,4
257,-4,-2,-740,16.560,-640,-0.640,16.57,73.21667006,-2.829629761,92.81,0.07683333333,73.27132849,0
258,-2,-2,-370,16.930,-640,-0.640,16.94,74.85254976,-2.829629761,94.88,0.1113333333,74.90601451,4
259,0,-2,0,17.300,-640,-0.640,17.31,76.48842947,-2.829629761,96.95,0.1458333333,76.54075154,0
260,2,-2,370,17.670,-640,-0.640,17.68,78.12430917,-2.829629761,99.02,0.1803333333,78.17553638,3
261,4,-2,740,18.040,-640,-0.640,18.05,79.76018888,-2.829629761,101.09,0.2148333333,79.81036608,0
262,6,-2,"1,110",18.410,-640,-0.640,18.42,81.39606858,-2.829629761,103.16,0.2493333333,81.44523795,0
263,7,-1,"1,295",18.595,-320,-0.320,18.60,82.21400844,-1.41481488,104.15,0.2658333333,82.22618126,1
264,5,-1,925,18.225,-320,-0.320,18.23,80.57812873,-1.41481488,102.08,0.2313333333,80.59054864,2
265,3,-1,555,17.855,-320,-0.320,17.86,78.94224903,-1.41481488,100.01,0.1968333333,78.95492627,2
266,1,-1,185,17.485,-320,-0.320,17.49,77.30636932,-1.41481488,97.94,0.1623333333,77.31931478,0
267,-1,-1,-185,17.115,-320,-0.320,17.12,75.67048961,-1.41481488,95.87,0.1278333333,75.68371489,4
268,-3,-1,-555,16.745,-320,-0.320,16.75,74.03460991,-1.41481488,93.79,0.09316666667,74.04812736,0
269,-5,-1,-925,16.375,-320,-0.320,16.38,72.3987302,-1.41481488,91.72,0.05866666667,72.41255303,4
270,-7,-1,"-1,295",16.005,-320,-0.320,16.01,70.7628505,-1.41481488,89.65,0.02416666667,70.77699281,4
271,-8,0,"-1,480",15.820,0,0.000,15.82,69.94491065,0,88.6,0.006666666667,69.94491065,0
272,-6,0,"-1,110",16.190,0,0.000,16.19,71.58079035,0,90.67,0.04116666667,71.58079035,0
273,-4,0,-740,16.560,0,0.000,16.56,73.21667006,0,92.74,0.07566666667,73.21667006,4
274,-2,0,-370,16.930,0,0.000,16.93,74.85254976,0,94.81,0.1101666667,74.85254976,0
275,0,0,0,17.300,0,0.000,17.30,76.48842947,0,96.89,0.1448333333,76.48842947,0
276,2,0,370,17.670,0,0.000,17.67,78.12430917,0,98.96,0.1793333333,78.12430917,3
277,4,0,740,18.040,0,0.000,18.04,79.76018888,0,101.03,0.2138333333,79.76018888,2
278,6,0,"1,110",18.410,0,0.000,18.41,81.39606858,0,103.1,0.2483333333,81.39606858,0
279,8,0,"1,480",18.780,0,0.000,18.78,83.03194829,0,105.17,0.2828333333,83.03194829,1
280,7,1,"1,295",18.595,320,0.320,18.60,82.21400844,1.41481488,104.15,0.2658333333,82.22618126,1
281,5,1,925,18.225,320,0.320,18.23,80.57812873,1.41481488,102.08,0.2313333333,80.59054864,0
282,3,1,555,17.855,320,0.320,17.86,78.94224903,1.41481488,100.01,0.1968333333,78.95492627,2
283,1,1,185,17.485,320,0.320,17.49,77.30636932,1.41481488,97.94,0.1623333333,77.31931478,3
284,-1,1,-185,17.115,320,0.320,17.12,75.67048961,1.41481488,95.87,0.1278333333,75.68371489,0
285,-3,1,-555,16.745,320,0.320,16.75,74.03460991,1.41481488,93.79,0.09316666667,74.04812736,4
286,-5,1,-925,16.375,320,0.320,16.38,72.3987302,1.41481488,91.72,0.05866666667,72.41255303,0
287,-7,1,"-1,295",16.005,320,0.320,16.01,70.7628505,1.41481488,89.65,0.02416666667,70.77699281,0
288,6,2,"-1,110",16.190,640,0.640,16.20,71.58079035,2.829629761,90.74,0.04233333333,71.63669696,0
289,4,2,-740,16.560,640,0.640,16.57,73.21667006,2.829629761,92.81,0.07683333333,73.27132849,0
290,2,2,-370,16.930,640,0.640,16.94,74.85254976,2.829629761,94.88,0.1113333333,74.90601451,0
291,0,2,0,17.300,640,0.640,17.31,76.48842947,2.829629761,96.95,0.1458333333,76.54075154,3
292,2,2,370,17.670,640,0.640,17.68,78.12430917,2.829629761,99.02,0.1803333333,78.17553638,0
293,6,2,"1,110",18.410,640,0.640,18.42,81.39606858,2.829629761,103.16,0.2493333333,81.44523795,1